VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M006-051/A,RemGvw,5:14,19:29;45,RemGvw,399.085,MSG3,Pull-out,"M006-051/A,M006-051/B",KLZ2
M006-051/A,RemGvw,5:14,19:29;45,RemGvw,399.085,MSG3,Pull-in,"M006-051/A,M006-051/B",CPB
M006-051/B,RemGvw,5:14,19:29;45,RemGvw,399.085,MSG3,Pull-out,"M006-051/A,M006-051/B",KLZ2
M006-051/B,RemGvw,5:14,19:29;45,RemGvw,399.085,MSG3,Pull-in,"M006-051/A,M006-051/B",CPB
M006-052/A,RemGvw,5:28,24:39;15,RemGvw,501.672,MSG3,Pull-out,"M006-052/A,M006-052/B",CPB
M006-052/A,RemGvw,5:28,24:39;15,RemGvw,501.672,MSG3,Pull-in,M006-052/A,CPB
M006-052/B,RemGvw,5:28,20:01,RemGvw,411.192,MSG3,Pull-out,"M006-052/A,M006-052/B",CPB
M006-052/B,RemGvw,5:28,20:01,RemGvw,411.192,MSG3,Pull-in,M006-052/B,CPB
M006-053/A,RemGvw,5:27;45,24:54;15,RemGvw,504.169,MSG3,Pull-out,"M006-053/A,M006-053/B",KLZ2
M006-053/A,RemGvw,5:27;45,24:54;15,RemGvw,504.169,MSG3,Pull-in,M006-053/A,CPB
M006-053/B,RemGvw,5:27;45,24:24;15,RemGvw,489.089,MSG3,Pull-out,"M006-053/A,M006-053/B",KLZ2
M006-053/B,RemGvw,5:27;45,24:24;15,RemGvw,489.089,MSG3,Pull-in,M006-053/B,CPB
M006-054/A,RemGvw,5:43,20:16,RemGvw,411.192,MSG3,Pull-out,"M006-054/A,M006-054/B",CPB
M006-054/A,RemGvw,5:43,20:16,RemGvw,411.192,MSG3,Pull-in,"M006-054/B,M006-054/A",CPB
M006-054/B,RemGvw,5:43,20:16,RemGvw,411.192,MSG3,Pull-out,"M006-054/A,M006-054/B",CPB
M006-054/B,RemGvw,5:43,20:16,RemGvw,411.192,MSG3,Pull-in,"M006-054/B,M006-054/A",CPB
M006-055/A,RemGvw,5:42;45,9:32;15,RemGvw,109.932,MSG3,Pull-out,"M006-055/A,M006-055/B",KLZ2
M006-055/A,RemGvw,5:42;45,9:32;15,RemGvw,109.932,MSG3,Pull-in,"M006-055/A,M006-055/B",CPB
M006-055/B,RemGvw,5:42;45,9:32;15,RemGvw,109.932,MSG3,Pull-out,"M006-055/A,M006-055/B",KLZ2
M006-055/B,RemGvw,5:42;45,9:32;15,RemGvw,109.932,MSG3,Pull-in,"M006-055/A,M006-055/B",CPB
M006-056/A,RemGvw,5:53;45,18:42;15,RemGvw,364.441,MSG3,Pull-out,"M006-056/A,M006-056/B",CPB
M006-056/A,RemGvw,5:53;45,18:42;15,RemGvw,364.441,MSG3,Pull-in,"M006-056/B,M006-056/A",CPB
M006-056/B,RemGvw,5:53;45,18:42;15,RemGvw,364.441,MSG3,Pull-out,"M006-056/A,M006-056/B",CPB
M006-056/B,RemGvw,5:53;45,18:42;15,RemGvw,364.441,MSG3,Pull-in,"M006-056/B,M006-056/A",CPB
M006-057/A,RemGvw,6:19;15,19:09,RemGvw,377.182,MSG3,Pull-out,"M006-057/A,M006-057/B",KLZ2
M006-057/A,RemGvw,6:19;15,19:09,RemGvw,377.182,MSG3,Pull-in,"M006-057/A,M006-057/B",CPB
M006-057/B,RemGvw,6:19;15,19:09,RemGvw,377.182,MSG3,Pull-out,"M006-057/A,M006-057/B",KLZ2
M006-057/B,RemGvw,6:19;15,19:09,RemGvw,377.182,MSG3,Pull-in,"M006-057/A,M006-057/B",CPB
M006-058/A,RemGvw,6:39;15,19:49;45,RemGvw,375.59,MSG3,Pull-out,"M006-058/A,M006-058/B",CPB
M006-058/A,RemGvw,6:39;15,19:49;45,RemGvw,375.59,MSG3,Pull-in,"M006-058/B,M006-058/A",CPB
