VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M006-051/A,RemGvw,6:30;30,24:29;45,RemGvw,413.101,MSG3,Pull-out,"M006-051/A,M006-051/B",CPB
M006-051/A,RemGvw,6:30;30,24:29;45,RemGvw,413.101,MSG3,Pull-in,M006-051/A,CPB
M006-051/B,RemGvw,6:30;30,24:59;45,RemGvw,428.181,MSG3,Pull-out,"M006-051/A,M006-051/B",CPB
M006-051/B,RemGvw,6:30;30,24:59;45,RemGvw,428.181,MSG3,Pull-in,M006-051/B,CPB
M006-052/A,RemGvw,6:45;30,19:39;45,RemGvw,322.181,MSG3,Pull-out,"M006-052/A,M006-052/B",CPB
M006-052/A,RemGvw,6:45;30,19:39;45,RemGvw,322.181,MSG3,Pull-in,"M006-052/B,M006-052/A",CPB
M006-052/B,RemGvw,6:45;30,19:39;45,RemGvw,322.181,MSG3,Pull-out,"M006-052/A,M006-052/B",CPB
M006-052/B,RemGvw,6:45;30,19:39;45,RemGvw,322.181,MSG3,Pull-in,"M006-052/B,M006-052/A",CPB
M006-053/A,RemGvw,7:00;30,20:05;30,RemGvw,331.59,MSG3,Pull-out,"M006-053/A,M006-053/B",CPB
M006-053/A,RemGvw,7:00;30,20:05;30,RemGvw,331.59,MSG3,Pull-in,"M006-053/B,M006-053/A",CPB
M006-053/B,RemGvw,7:00;30,20:05;30,RemGvw,331.59,MSG3,Pull-out,"M006-053/A,M006-053/B",CPB
M006-053/B,RemGvw,7:00;30,20:05;30,RemGvw,331.59,MSG3,Pull-in,"M006-053/B,M006-053/A",CPB
M006-054/A,RemGvw,9:53,20:01,RemGvw,264.358,MSG3,Pull-out,"M006-054/A,M006-054/B",KLZ2
M006-054/A,RemGvw,9:53,20:01,RemGvw,264.358,MSG3,Pull-in,M006-054/A,CPB
M006-054/B,RemGvw,9:53,24:44;45,RemGvw,355.278,MSG3,Pull-out,"M006-054/A,M006-054/B",KLZ2
M006-054/B,RemGvw,9:53,24:44;45,RemGvw,355.278,MSG3,Pull-in,M006-054/B,CPB
M006-055/A,RemGvw,10:07;15,20:10,RemGvw,264.358,MSG3,Pull-out,"M006-055/A,M006-055/B",KLZ2
M006-055/A,RemGvw,10:07;15,20:10,RemGvw,264.358,MSG3,Pull-in,"M006-055/A,M006-055/B",CPB
M006-055/B,RemGvw,10:07;15,20:10,RemGvw,264.358,MSG3,Pull-out,"M006-055/A,M006-055/B",KLZ2
M006-055/B,RemGvw,10:07;15,20:10,RemGvw,264.358,MSG3,Pull-in,"M006-055/A,M006-055/B",CPB
M006-056/A,RemGvw,10:38;45,19:29;45,RemGvw,226.735,MSG3,Pull-out,"M006-056/A,M006-056/B",CPB
M006-056/A,RemGvw,10:38;45,19:29;45,RemGvw,226.735,MSG3,Pull-in,"M006-056/B,M006-056/A",CPB
M006-056/B,RemGvw,10:38;45,19:29;45,RemGvw,226.735,MSG3,Pull-out,"M006-056/A,M006-056/B",CPB
M006-056/B,RemGvw,10:38;45,19:29;45,RemGvw,226.735,MSG3,Pull-in,"M006-056/B,M006-056/A",CPB
M006-057/A,RemGvw,10:52,19:09;15,RemGvw,214.152,MSG3,Pull-out,"M006-057/A,M006-057/B",KLZ2
M006-057/A,RemGvw,10:52,19:09;15,RemGvw,214.152,MSG3,Pull-in,"M006-057/A,M006-057/B",CPB
M006-057/B,RemGvw,10:52,19:09;15,RemGvw,214.152,MSG3,Pull-out,"M006-057/A,M006-057/B",KLZ2
M006-057/B,RemGvw,10:52,19:09;15,RemGvw,214.152,MSG3,Pull-in,"M006-057/A,M006-057/B",CPB
M006-058/A,RemGvw,11:08;30,19:48;30,RemGvw,226.259,MSG3,Pull-out,"M006-058/A,M006-058/B",CPB
M006-058/A,RemGvw,11:08;30,19:48;30,RemGvw,226.259,MSG3,Pull-in,"M006-058/B,M006-058/A",CPB
M006-058/B,RemGvw,11:08;30,19:48;30,RemGvw,226.259,MSG3,Pull-out,"M006-058/A,M006-058/B",CPB
