VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M006-051/A,RemGvw,7:37;45,19:32;30,RemGvw,310.074,MSG3,Pull-out,"M006-051/A,M006-051/B",KLZ2
M006-051/A,RemGvw,7:37;45,19:32;30,RemGvw,310.074,MSG3,Pull-in,M006-051/A,CPB
M006-051/B,RemGvw,7:37;45,24:54;30,RemGvw,415.194,MSG3,Pull-out,"M006-051/A,M006-051/B",KLZ2
M006-051/B,RemGvw,7:37;45,24:54;30,RemGvw,415.194,MSG3,Pull-in,M006-051/B,CPB
M006-052/A,RemGvw,7:52;45,19:46,RemGvw,309.598,MSG3,Pull-out,"M006-052/A,M006-052/B",KLZ2
M006-052/A,RemGvw,7:52;45,19:46,RemGvw,309.598,MSG3,Pull-in,"M006-052/A,M006-052/B",CPB
M006-052/B,RemGvw,7:52;45,19:46,RemGvw,309.598,MSG3,Pull-out,"M006-052/A,M006-052/B",KLZ2
M006-052/B,RemGvw,7:52;45,19:46,RemGvw,309.598,MSG3,Pull-in,"M006-052/A,M006-052/B",CPB
M006-053/A,RemGvw,8:07;45,20:05;30,RemGvw,319.007,MSG3,Pull-out,"M006-053/A,M006-053/B",KLZ2
M006-053/A,RemGvw,8:07;45,20:05;30,RemGvw,319.007,MSG3,Pull-in,"M006-053/A,M006-053/B",CPB
M006-053/B,RemGvw,8:07;45,20:05;30,RemGvw,319.007,MSG3,Pull-out,"M006-053/A,M006-053/B",KLZ2
M006-053/B,RemGvw,8:07;45,20:05;30,RemGvw,319.007,MSG3,Pull-in,"M006-053/A,M006-053/B",CPB
M006-054/A,RemGvw,9:45,24:24;15,RemGvw,375.387,MSG3,Pull-out,"M006-054/A,M006-054/B",KLZ2
M006-054/A,RemGvw,9:45,24:24;15,RemGvw,375.387,MSG3,Pull-in,M006-054/A,CPB
M006-054/B,RemGvw,9:45,24:39;30,RemGvw,375.387,MSG3,Pull-out,"M006-054/A,M006-054/B",KLZ2
M006-054/B,RemGvw,9:45,24:39;30,RemGvw,375.387,MSG3,Pull-in,M006-054/B,CPB
M006-055/A,RemGvw,10:00,20:16,RemGvw,284.916,MSG3,Pull-out,"M006-055/A,M006-055/B",KLZ2
M006-055/A,RemGvw,10:00,20:16,RemGvw,284.916,MSG3,Pull-in,"M006-055/A,M006-055/B",CPB
